"words","freq"
"comedians",1
"comefrombehind",1
"comes",36
"cometh",1
"comey",2
"comeys",1
"comfortable",1
"comic",1
"coming",38
"commander",2
"commanderinchief",1
"commanderinchiefs",1
"commanders",1
"commended",1
"comment",2
"commented",1
"comments",6
"commerce",16
"commerces",1
"commercial",16
"commercials",3
"commission",24
"commissioned",1
"commissioner",14
"commissioners",3
"commissions",2
"commit",11
"commitment",10
"commitments",1
"committed",14
"committee",31
"committees",6
"committing",5
"common",37
"commonly",5
"commonplace",1
"commonsense",1
"commonwealth",6
"commonwealths",1
"communicate",2
"communications",1
"communion",1
"communism",1
"communist",7
"communists",3
"communities",21
"community",37
"communitybased",1
"commutations",1
"commute",2
"commuter",1
"commuters",1
"commuting",1
"comoros",1
"comp",1
"compact",5
"companies",107
"company",56
"companys",1
"comparable",4
"comparative",1
"compare",6
"compared",27
"comparison",1
"compass",1
"compensate",1
"compensation",7
"compete",2
"competence",1
"competition",1
"competitive",6
"competitiveness",1
"competitor",1
"competitors",2
"compilation",1
"complained",1
"complaining",1
"complaint",1
"complaints",1
"complete",5
"completed",1
"completely",17
"complex",2
"compliance",4
"compliant",1
"complicated",4
"complications",1
"complied",1
"comply",3
"complying",2
"component",2
"components",1
"compound",1
"comprehensive",5
"comprise",2
"comprised",2
"compromise",6
"compromising",1
"comptroller",2
"compulsory",1
"computer",9
"computers",1
"con",2
"conceal",2
"concealandcarry",1
"concealed",8
"concealedcarry",1
"concealedgun",1
"concede",1
"conceded",1
"concedes",1
"conceive",1
"concentrated",2
"concentration",1
"concentrations",1
"concept",1
"conception",2
"concern",1
"concerned",2
"concerns",3
"concert",1
"concerts",1
"concession",1
"conclude",2
"concluded",9
"concludes",1
"conclusion",2
"concrete",1
"concussion",1
"concussions",1
"condemn",2
"condemned",2
"condemning",2
"condition",11
"conditions",16
"condo",1
"condoleezza",1
"condoms",4
"conduct",7
"conducted",10
"conducting",1
"confederacy",1
"confederate",5
"confer",1
"conference",2
"conferences",1
"confidence",1
"confidential",1
"confidentiality",1
"confidently",1
"confined",1
"confines",2
"confirm",1
"confirmation",5
"confirmed",9
"confirming",1
"confirms",4
"confiscated",1
"confiscating",1
"confiscation",2
"conflict",8
"conflictfree",2
"conflictofinterest",1
"conflicts",3
"conforming",2
"confrontation",2
"confronted",1
"confronting",1
"confuse",1
"congenital",1
"conger",1
"congested",2
"congestion",2
"congress",184
"congressadjourned",1
"congressdecision",1
"congresses",2
"congressional",66
"congressionalrulesfederalbudgetmilitary",1
"congressman",39
"congressmen",7
"congresswoman",3
"connected",3
"connecticut",5
"connecticuts",1
"connecting",1
"connection",6
"connections",2
"connie",12
"connor",1
"conocophillips",1
"conscious",1
"consecutive",14
"consecutively",1
"consent",5
"consequence",1
"consequences",3
"conservancy",1
"conservation",3
"conservative",16
"conservatives",5
"consided",1
"consider",5
"considerably",2
"consideration",2
"considered",10
"considering",6
"considers",1
"consistent",6
"consistently",9
"consists",1
"conspiracy",2
"conspirators",1
"constables",1
"constant",3
"constantly",2
"constituent",1
"constituents",4
"constitutes",1
"constitution",35
"constitutional",20
"constitutionally",1
"constrained",1
"constructed",1
"construction",21
"consulate",3
"consult",2
"consultants",1
"consultation",1
"consume",5
"consumed",1
"consumer",14
"consumers",9
"consumes",3
"consuming",1
"consumption",5
"contact",3
"contagious",1
"contain",3
"contained",4
"containers",1
"containment",1
"contains",6
"contaminated",1
"contenders",1
"contends",1
"content",1
"contest",1
"contests",1
"context",2
"continent",1
"continental",2
"continual",1
"continually",1
"continue",16
"continued",3
"continues",11
"continuing",3
"continuous",1
"continuously",1
"contraception",7
"contraceptive",3
"contract",12
"contracted",1
"contracting",2
"contractors",4
"contracts",11
"contradictory",1
"contrarily",1
"contrary",4
"contrast",2
"contribute",10
"contributed",6
"contributes",3
"contributing",5
"contribution",10
"contributions",31
"contributor",4
"contributors",2
"control",71
"controlled",6
"controllers",1
"controlling",2
"controls",5
"controversial",3
"controversy",2
"controversyabout",1
"convene",1
"convention",16
"conventional",3
"conventions",1
"conversation",2
"conversion",1
"convert",3
"converted",2
"converting",2
"conveyed",1
"convict",2
"convicted",24
"conviction",1
"convictions",6
"cook",1
"cookie",1
"cookies",1
"cooking",2
"cooks",1
"cool",1
"cooling",1
"coons",2
"cooper",1
"cooperate",1
"cooperation",1
"coopers",1
"coops",2
"coordinating",1
"coordinator",1
"coos",1
"coowner",1
"cop",2
"copay",1
"copays",2
"copenhagen",2
"cops",4
"copy",2
"copycat",1
"corbett",1
"cordray",1
"cordrays",1
"core",23
"corey",1
"corleone",1
"corn",4
"cornell",1
"corner",2
"cornilles",5
"cornyn",5
"corp",1
"corporate",40
"corporatesponsored",1
"corporation",7
"corporations",30
"corps",2
"correct",5
"corrected",1
"correctional",1
"corrections",4
"correlation",1
"corridor",5
"corridors",1
"corrine",1
"corroborated",1
"corrupt",2
"corrupted",1
"corruption",7
"cortez",4
"corvallis",1
"cory",8
"corzine",7
"corzines",1
"cos",1
"cosponsor",3
"cosponsored",12
"cost",161
"costeffective",1
"costeffectively",1
"costing",21
"costly",4
"costofliving",3
"costs",107
"costsaving",1
"costsharing",1
"cotton",5
"cough",2
"couldnt",25
"couldve",1
"council",29
"councilman",1
"councilor",1
"counseling",4
"counselors",1
"count",9
"counted",5
"counterfeiting",2
"countering",1
"counterparts",6
"counterterrorism",1
"counties",26
"counting",5
"countless",2
"countries",80
"country",330
"countrymost",1
"countrynot",1
"countryoforigin",1
"countrys",17
"counts",4
"county",155
"countyowned",1
"countys",9
"couple",19
"couples",9
"courage",1
"courageous",1
"course",11
"courses",2
"court",105
"courtdefined",1
"courtesies",1
"courthouse",2
"courtmartialed",1
"courtordered",1
"courtroom",1
"courts",8
"cousin",2
"cover",16
"coverage",75
"covered",17
"covering",3
"covers",7
"covert",1
"cow",1
"cowboys",3
"coworker",1
"coyote",1
"coyotes",1
"crabs",1
"crack",2
"crackdown",3
"cracked",1
"cracking",3
"cradle",1
"craft",3
"crafted",1
"craig",3
"craigslist",2
"cramming",1
"cramps",1
"cranes",1
"cranston",3
"cranstons",1
"crash",8
"crashed",1
"crashes",7
"crazy",1
"crc",1
"crct",3
"create",64
"created",129
"createda",1
"creates",3
"creating",25
"creatingposts",1
"creation",42
"creationism",1
"creator",4
"creators",2
"credence",1
"credentials",1
"credibly",1
"credit",44
"credits",7
"creek",1
"creeping",1
"creflo",2
"cresent",1
"crime",91
"crimea",4
"crimecriminaljusticegunslegalissues",1
"crimes",26
"criminal",33
"criminalize",2
"criminaljustice",1
"criminals",12
"crippled",1
"crippling",2
"crises",2
"crisis",27
"crist",34
"crists",7
"criteria",3
"critical",5
"critically",1
"criticism",1
"criticize",1
"criticized",1
"criticizing",5
"critics",1
"critz",1
"cromnibus",1
"cronies",1
"crooked",1
"crop",2
"crops",3
"cross",5
"crosse",1
"crossed",4
"crossing",12
"crossings",4
"crossroadsgps",1
"crossshaped",1
"crosswalk",2
"crow",1
"crowd",2
"crowds",1
"crowera",1
"crucifying",1
"crude",2
"cruelty",1
"cruise",3
"cruisers",1
"crusade",1
"crushes",1
"crushing",1
"cruz",30
"cruzs",5
"cruzsaid",1
"cruzsname",1
"cruzswife",1
"cryptosporidium",1
"crystal",1
"cspan",1
"cuba",13
"cuban",5
"cubans",1
"cubas",1
"cubicle",1
"cuccinelli",10
"cuccinellis",1
"cuellar",1
"cufflinks",1
"cult",1
"cultural",1
"cumberland",2
"cumulatively",1
"cuomo",1
"cup",1
"cups",2
"curb",1
"curbelo",3
"curbing",2
"curbs",1
"curbside",1
"cure",2
"cured",2
"cures",2
"curfew",1
"curiel",1
"currency",5
"current",50
"currently",33
"curriculum",2
"curry",1
"curtain",1
"custody",4
"customer",2
"customers",4
"customs",1
"cut",253
"cutback",1
"cutbacks",1
"cutby",1
"cutoff",1
"cuts",144
"cutting",25
"cuttings",1
"cuyahoga",4
"cvs",1
"cyber",1
"cyberattacks",1
"cybersecurity",1
"cycle",3
"czar",3
"czars",1
"czech",2
"dabbled",1
"daca",2
"dad",4
"daddy",1
"dade",2
"daily",8
"daines",1
"daiquiri",1
"dairies",1
"dairy",3
"dairyland",1
"dakota",1
"dakotas",1
"dallas",16
"dallasfort",2
"dam",2
"damage",5
"damaged",5
"damages",4
"damaging",3
"damascus",1
"dame",1
"damn",1
"damon",1
"dan",18
"danced",1
"dancing",1
"dane",5
"dangerous",12
"daniel",6
"daniels",1
"danny",3
"dare",1
"dark",2
"darling",3
"darn",1
"darryl",3
"dartmouth",1
"das",1
"daschle",1
"data",24
"database",7
"datastoring",1
"date",12
"dates",2
"dating",6
"daugherty",3
"daughter",6
"daughters",1
"dave",6
"david",56
"davidquiroa",1
"davis",11
"day",156
"daycare",1
"daylight",2
"days",69
"dayton",2
"dbaraboo",1
"dcalif",1
"dcarea",1
"dccitycouncilpasseda",1
"dcs",1
"dday",2
"dea",2
"dead",15
"deadbeat",1
"deadliest",1
"deadline",3
"deadly",8
"deaf",1
"deafened",1
"deal",79
"dealer",4
"dealers",6
"dealership",1
"dealerships",1
"dealing",6
"dealings",2
"dealis",1
"deals",11
"dealt",2
"dean",3
"deans",1
"dearborn",2
"death",45
"deathbed",1
"deaths",22
"debacle",1
"debate",38
"debated",1
"debatenot",1
"debates",9
"debbie",10
"debo",1
"deborah",3
"debra",1
"debt",202
"debtceiling",1
"debts",1
"debunk",1
"debunked",5
"debut",1
"dec",1
"decade",57
"decades",24
"decadesold",1
"decapitated",1
"decaturs",1
"decay",1
"december",7
"decent",1
"deception",1
"deceptively",1
"decide",7
"decided",13
"decider",1
"deciding",14
"decimated",1
"decision",21
"decisions",11
"declaration",4
"declare",2
"declared",9
"declaring",3
"declassified",1
"decline",9
"declined",11
"declines",1
"declining",5
"decor",1
"decorated",2
"decrease",9
"decreased",13
"decreases",3
"decreasing",2
"decree",1
"decriminalize",1
"decriminalized",1
"dedicate",1
"dedicated",5
"deduct",1
"deducted",1
"deductible",1
"deductibles",2
"deduction",9
"deductions",7
"dee",2
"deem",1
"deemed",3
"deen",1
"deep",6
"deeper",3
"deepest",2
"deeply",2
"deepwater",1
"deepwaters",1
"deer",7
"deerhunting",1
"default",5
"defaulted",1
"defazio",3
"defeat",7
"defeated",6
"defeating",2
"defect",2
"defend",5
"defendants",2
"defended",5
"defender",1
"defending",4
"defends",2
"defense",48
"defensive",2
"defer",1
"deferred",2
"deficient",1
"deficit",91
"deficitfederalbudget",1
"deficitfederalbudgetjobaccomplishments",1
"deficitneutral",1
"deficits",19
"deficitspending",1
"defied",1
"defies",1
"define",3
"defined",3
"definition",6
"definitions",1
"deformed",1
"defrauded",1
"defrauding",1
"defund",8
"defunded",3
"defunding",2
"degrade",1
"degraded",1
"degree",5
"degrees",5
"dekalb",10
"del",3
"delano",3
"delaware",2
"delay",9
"delayed",11
"delaying",4
"delays",4
"delegate",1
"delegated",1
"delegates",8
"delegation",4
"delete",1
"deleted",6
"deliberately",3
"delicious",2
"delinquent",2
"deliver",2
"delivered",11
"delivering",1
"delivers",1
"delivery",2
"delphi",2
"delta",3
"dem",3
"demand",13
"demanded",4
"demanding",3
"demcontrolled",1
"demise",1
"democracy",6
"democrat",62
"democratcontrolled",1
"democratic",98
"democratically",1
"democraticcongressional",1
"democrats",151
"demographic",3
"demond",1
"demonstrated",1
"demonstrates",2
"demonstrations",1
"dems",1
"denham",1
"denhamhas",1
"denied",13
"denies",3
"denmark",2
"dennis",3
"denounce",2
"dental",4
"dentists",1
"dentures",1
"denver",4
"deny",20
"denying",5
"dep",1
"department",107
"departments",9
"depend",9
"dependence",6
"dependency",2
"dependent",1
"depending",1
"depends",1
"depetro",1
"depicting",2
"depicts",1
"deployed",4
"deployment",1
"deport",8
"deportation",9
"deportations",3
"deportationsin",1
"deported",8
"deportedin",1
"deporting",3
"deposit",2
"deposition",3
"depository",1
"deposits",2
"depressed",1
"depression",11
"deprive",3
"deprived",1
"depriving",1
"dept",1
"deputies",2
"deputy",2
"deqs",1
"derail",2
"derailed",1
"derailment",1
"deregulation",3
"derivatives",3
"derrick",1
"des",2
"descent",2
"describe",2
"described",3
"desert",2
"deserted",1
"deserve",2
"deserved",1
"deserves",2
"design",2
"designated",4
"designation",1
"designed",5
"designers",1
"desirable",1
"desire",1
"desjarlais",1
"desk",3
"desks",2
"despise",1
"despite",21
"despot",1
"destabilize",2
"destefano",1
"destination",1
"destroy",10
"destroyed",5
"destroying",4
"destruction",4
"destructive",1
"detail",2
"detailed",2
"details",1
"detained",4
"detainee",1
"detainees",9
"detention",2
"determination",1
"determine",3
"determined",2
"determines",1
"determining",3
"deters",1
"detert",1
"detroit",7
"deutsche",1
"devastate",1
"devastated",2
"devastating",4
"devastation",1
"develop",3
"developed",11
"developers",6
"developing",6
"development",24
"developmental",1
"developments",1
"device",3
"devices",3
"devil",1
"devils",2
"devlin",1
"devote",1
"devoted",2
"dewhurst",9
"dewhursts",1
"dewine",1
"dewines",1
"dga",2
"dhs",1
"diabetes",2
"diagnosed",1
"diagnosis",1
"dial",1
"dialogues",1
"dialysis",1
"diana",1
"diane",2
"dianne",1
"diapers",1
"dick",2
"dickens",1
"dictate",1
"dictator",4
"dictionary",1
"didnt",97
"die",27
"died",21
"diego",1
"dies",3
"diesel",1
"diet",1
"differ",1
"differed",2
"difference",10
"differences",1
"different",32
"difficult",7
"difficulties",1
"digital",1
"digits",3
"dignity",1
"dildo",1
"dildos",1
"dime",12
"dimora",2
"dine",1
"diners",1
"dining",1
"dinner",4
"dinners",1
"dinosaurs",1
"diowa",2
"dioxide",2
"dip",1
"diploma",6
"diplomacy",1
"diplomas",1
"diplomatic",1
"dipped",1
"dire",2
"direct",13
"directed",5
"directing",1
"direction",5
"directly",14
"director",20
"directs",1
"dirty",7
"disabilities",4
"disability",8
"disabled",10
"disadvantage",1
"disadvantages",1
"disagree",1
"disagreed",1
"disagreeing",1
"disagrees",3
"disappear",2
"disappeared",3
"disappearing",1
"disappointment",1
"disapproval",2
"disarm",2
"disarmed",1
"disaster",14
"disasters",1
"disastrous",3
"disavow",1
"discharge",1
"dischargeand",1
"discharged",2
"discharging",1
"disclose",4
"disclosed",1
"disclosing",2
"disclosure",4
"disclosures",1
"discontent",1
"discount",1
"discourage",1
"discover",1
"discovered",3
"discoveries",1
"discovering",2
"discredited",1
"discretion",3
"discretionary",13
"discriminated",2
"discriminates",1
"discriminating",3
"discrimination",10
"discriminatory",1
"discuss",2
"discussed",4
"discussing",3
"discussion",2
"discussions",3
"disease",11
"diseases",8
"disenfranchised",1
"disenfranchising",1
"disfigurement",1
"disgrace",3
"disgraced",2
"disgraceful",1
"disgusting",1
"dishonest",3
"dishonorably",1
"disincentive",1
"disincorporation",1
"dismantle",2
"dismantling",1
"dismissal",1
"dismissed",1
"disney",4
"disneyland",2
"disparities",1
"disparity",3
"dispatched",1
"dispensaries",2
"displaced",1
"display",1
"disposable",1
"disposal",1
"disposing",1
"disproportionate",1
"disproportionately",3
"dispute",2
"disputed",1
"disputes",1
"disqualified",1
"disqualify",1
"disregarded",1
"disrespect",2
"disrupt",3
"disruptive",1
"dissenter",1
"dissuade",1
"distance",2
"distant",1
"distinction",1
"distinctions",1
"distinguish",1
"distort",1
"distortedwhat",1
"distortions",1
"distracted",2
"distress",1
"distressed",1
"distributed",3
"distributing",1
"distribution",1
"distributors",1
"district",71
"districts",33
"disturb",1
"disturbing",1
"ditch",2
"dive",1
"diverse",2
"diversions",1
"diversity",4
"divert",1
"diverted",1
"diverting",2
"diverts",1
"dividedgovernment",1
"dividend",2
"dividends",1
"diving",1
"division",4
"divisions",2
"divorce",4
"divorces",1
"djt",1
"dmacon",1
"dminus",1
"dmv",2
"dna",3
"dnc",3
"dnh",1
"dnr",1
"dny",1
"dobson",1
"doc",2
"docked",1
"doctor",10
"doctored",2
"doctorpatientrelationshipcentered",1
"doctors",30
"doctrine",1
"document",2
"documented",5
"documents",4
"dodd",2
"doddfrank",6
"dodgers",1
"dodging",1
"doe",1
"doesnt",87
"dog",11
"doggett",2
"dogracing",1
"dogs",5
"doherty",3
"dohertys",1
"dold",1
"dole",2
"doled",1
"dollar",51
"dollars",170
"dollarsout",1
"dolls",1
"dolphins",2
"doma",1
"domain",3
"dome",3
"domes",2
"domestic",40
"dominant",1
"dominated",1
"dominates",1
"dominic",1
"dominos",1
"don",2
"donald",140
"donaldtrump",2
"donate",1
"donated",7
"donates",3
"donating",1
"donation",1
"donations",10
"donationsthere",1
"done",53
"donetsk",1
"donna",3
"donor",2
"donors",14
"donothing",1
"donovan",1
"dont",196
"dontre",1
"donut",2
"donuts",1
"dooley",1
"door",7
"doors",2
"doorstep",1
"doorway",1
"dorm",2
"dorman",1
"dorms",1
"doses",1
"double",29
"doubleaballpark",1
"doubled",47
"doubledigit",6
"doublelayered",1
"doubles",2
"doubling",1
"doubt",4
"doug",3
"doughnut",1
"doughnuts",1
"dougmacginnitie",1
"dovilla",1
"dovillas",1
"dow",1
"dowd",1
"dowith",1
"downgrade",2
"downgraded",2
"downgrades",2
"downit",1
"downloaded",1
"downrange",1
"downsizing",1
"downstate",1
"downstream",2
"downtown",5
"downturn",2
"doyle",5
"doyles",3
"dozen",5
"dozens",9
"dportland",1
"draft",4
"drafted",3
"dragged",2
"drain",2
"drainage",2
"drained",1
"draining",1
"drains",1
"dramatic",7
"dramatically",9
"drastic",2
"drastically",2
"draw",6
"drawdown",1
"drawdowns",1
"drawing",2
"drawn",3
"draws",1
"dream",12
"dreamed",1
"dreamers",5
"dreams",2
"driedup",1
"drill",4
"drilled",2
"drilling",44
"drink",6
"drinking",6
"drinks",4
"drive",11
"driveby",1
"driven",9
"driver",6
"drivers",19
"drives",3
"driveup",1
"driving",22
"drone",8
"drones",3
"drop",22
"dropout",9
"dropouts",3
"dropped",27
"dropping",4
"drops",2
"drought",1
"drove",9
"drowned",1
"drowning",1
"drug",42
"drugdealing",1
"druginduced",1
"drugrelated",2
"drugs",21
"drugtaking",1
"drunk",7
"drunken",3
"drunkendriving",1
"drying",1
"dtap",1
"dubai",1
"dubbed",1
"dubious",2
"ducey",1
"duck",1
"ducking",1
"ducks",1
"duckworth",1
"due",43
"duel",1
"dues",5
"duffy",6
"dug",1
"duggars",1
"dui",1
"dukakis",1
"duke",2
"duly",1
"dump",1
"dumped",2
"dumping",2
"dumps",1
"duncan",2
"dunk",1
"dunkin",1
"dunnam",1
"duplication",1
"duration",1
"dust",1
"duties",2
"duty",10
"duvalier",1
"dwayne",1
"dwi",2
"dwight",6
"dwindled",1
"dwis",1
"dying",5
"dynamic",1
"dynamite",1
"earl",1
"earlier",10
"earliest",4
"early",37
"earmark",9
"earmarked",1
"earmarker",1
"earmarks",28
"earn",24
"earned",21
"earner",1
"earners",9
"earning",19
"earnings",3
"earnonly",1
"earns",7
"earpiece",1
"ears",1
"earth",25
"earthquake",3
"earths",2
"ease",2
"eased",1
"easier",12
"easiest",1
"easily",2
"easing",1
"east",22
"eastern",3
"easy",4
"eat",5
"eating",2
"ebay",4
"ebola",18
"eckhardt",1
"eclipse",3
"economic",86
"economically",3
"economies",2
"economist",4
"economists",3
"economy",127
"economyincomejobs",1
"economyis",1
"economyjobaccomplishmentsjobsstimulus",1
"economys",1
"ecosystems",1
"eddie",1
"edgillespie",1
"editing",1
"edition",3
"editor",1
"editorial",1
"educated",3
"educating",1
"education",148
"educational",4
"educationgovernmentregulationjobaccomplishmentslaborunions",1
"educations",3
"educator",1
"educators",2
"edward",3
"edwards",2
"effect",26
"effective",14
"effectively",6
"effectiveness",3
"efficiency",7
"efficient",1
"effort",14
"efforts",17
"egging",1
"eggs",2
"egregious",1
"egypt",6
"egyptians",2
"egypts",1
"eight",60
"eighth",2
"eighthgrade",1
"eighthour",1
"eighty",6
"eightyear",3
"eightyearold",1
"eightyfive",5
"eightyseven",1
"eightythree",1
"eisenhower",11
"either",30
"ejected",1
"elaborate",2
"elderly",9
"elect",6
"elected",51
"electing",2
"election",89
"electionbill",1
"electionday",1
"elections",37
"elective",3
"electoral",4
"electorate",4
"electric",19
"electrical",1
"electricians",1
"electricity",10
"electromagnetic",1
"electronic",3
"electronically",1
"electronics",1
"elementary",10
"elementaryage",1
"elements",2
"elena",5
"elephant",1
"elevated",2
"elevators",1
"eleven",3
"eligibility",3
"eligible",16
"eliminate",22
"eliminated",18
"eliminates",5
"eliminating",11
"elimination",5
"eliot",1
"elizabeth",3
"ellen",2
"elllis",1
"ellmers",2
"elorza",1
"else",24
"elses",1
"elsewhere",3
"elusive",1
"elyse",1
"email",19
"emails",19
"emanating",1
"emancipation",1
"embargo",4
"embarked",1
"embarrassment",1
"embassy",6
"embedded",1
"embellished",1
"embossed",1
"embrace",2
"embraced",2
"embracing",1
"embroiled",1
"embryonic",3
"emerged",2
"emergency",15
"eminent",3
"emirates",2
"emissions",12
"emit",1
"emitted",1
"emmy",1
"emmys",1
"emoluments",1
"emory",2
"emphasis",1
"emphatically",1
"empirical",1
"employ",1
"employed",9
"employee",23
"employees",93
"employeeswe",1
"employer",12
"employerbased",1
"employerprovided",1
"employers",22
"employersponsored",1
"employersupported",1
"employment",15
"employs",3
"empower",1
"empowered",1
"empty",2
"emulate",1
"enable",1
"enabled",1
"enables",1
"enact",3
"enacted",15
"enacting",3
"enactment",1
"encephalopathy",1
"encountered",1
"encounters",1
"encourage",2
"encouraged",4
"encourages",1
"encouraging",3
"end",63
"endanger",1
"endangered",1
"ended",13
"endemic",1
"ending",11
"endless",1
"endlessly",1
"endoflife",2
"endorse",7
"endorsed",18
"endorsement",3
"endorsements",1
"endorsers",1
"endorses",2
"endorsing",4
"endowed",1
"endowment",1
"ends",8
"endure",1
"endured",1
"enemies",6
"enemy",1
"energies",1
"energized",1
"energy",75
"energyfederalbudgetstimulus",1
"energyresourcesrussia",1
"energys",1
"enforce",9
"enforced",2
"enforcement",21
"enforcing",1
"engage",3
"engaged",4
"engagement",4
"engaging",4
"engine",1
"engineered",1
"engineering",2
"engineers",3
"engines",2
"england",13
"english",10
"englishlanguage",1
"englishspeaking",1
"enjoy",2
"enjoyed",2
"enjoying",2
"enjoys",1
"enlist",2
"enormous",3
"enough",39
"enrich",1
"enrichment",2
"enroll",5
"enrolled",9
"enrollee",4
"enrollees",1
"enrolling",1
"enrollment",4
"enron",1
"enslaved",1
"ensure",4
"ensures",2
"ensuring",1
"entanglements",1
"enter",4
"entered",7
"entering",4
"enterprise",3
"enterprises",2
"enters",1
"entertained",1
"entire",63
"entirely",7
"entirety",2
"entities",2
"entitled",1
"entitlement",5
"entitlements",2
"entrance",2
"entrapment",1
"entrepreneurs",1
"entrepreneurship",2
"entry",3
"entrylevel",1
"environment",10
"environmental",15
"environmentalists",2
"environmentally",2
"envision",1
"enzi",1
"epa",14
"epas",1
"epic",1
"epidemic",2
"equal",25
"equaled",1
"equality",5
"equally",2
"equip",1
"equipment",5
"equity",1
"equivalent",16
"era",5
"erased",3
"eric",20
"erie",5
"ernesto",1
"ernst",4
"erode",1
"erratic",1
"error",5
"errors",1
"erupted",1
"erv",1
"escalating",1
"escalation",1
"escaped",5
"esd",1
"especially",7
"espionage",4
"espoused",1
"esquivel",1
"essays",1
"essence",1
"essentially",14
"est",1
"establish",3
"established",6
"establishes",1
"establishing",2
"establishment",4
"estabrook",2
"estatal",1
"estate",23
"estimate",9
"estimated",24
"estimates",18
"estonia",1
"estuary",1
"etc",3
"ethanol",8
"ethical",2
"ethics",20
"ethiopia",1
"ethnic",1
"ethnically",1
"ethnicity",4
"europe",12
"european",7
"europeans",1
"euthanize",1
"evading",1
"evaluates",1
"evaluating",1
"evaluation",1
"even",231
"evening",1
"evenly",1
"event",9
"events",6
"eventual",1
"eventually",4
"ever",95
"everglades",1
"everify",7
"evers",1
"every",379
"everybody",21
"everybodys",1
"everyone",17
"everything",14
"everywhere",2
"evey",1
"evict",1
"evidence",18
"evil",1
"evolution",3
"exacerbate",1
"exacerbated",1
"exact",4
"exactly",11
"exaggerated",1
"exam",2
"examined",2
"examiners",1
"example",6
"examples",2
"exams",5
"exboyfriend",1
"exceed",5
"exceeded",5
"exceeding",1
"exceeds",6
"excellent",1
"except",16
"exception",6
"exceptions",2
"excess",3
"exchange",12
"exchanges",5
"exchanging",1
"excise",1
"excited",2
"exclude",2
"excluded",1
"excludes",1
"excluding",2
"exclusion",2
"exclusive",2
"exclusively",2
"excons",1
"excuse",1
"execute",1
"executed",1
"execution",1
"executions",2
"executive",44
"executives",7
"exelon",1
"exempt",7
"exempted",1
"exempting",2
"exemption",3
"exemptions",4
"exempts",3
"exercised",1
"exercises",2
"exercising",1
"exhaustive",1
"exile",1
"exist",10
"existed",4
"existence",6
"existing",11
"exists",4
"exit",3
"exonerated",3
"exonerates",1
"exonerations",1
"exorbitant",1
"exotic",2
"expand",16
"expanded",18
"expanding",15
"expands",1
"expansion",26
"expansive",1
"expect",3
"expectancy",4
"expectation",1
"expectations",2
"expected",12
"expects",1
"expended",1
"expenditure",1
"expenditures",3
"expense",7
"expenses",8
"expensive",15
"experience",33
"experienced",6
"experiences",1
"experiencing",3
"experiment",1
"expert",1
"expertise",1
"experts",4
"expire",6
"explain",2
"explained",1
"explains",1
"explanation",1
"explicit",1
"explicitly",2
"exploded",2
"exploding",2
"exploit",1
"exploited",2
"exploration",2
"explore",2
"exploring",2
"explosion",1
"explosive",3
"explosives",1
"exponential",1
"export",3
"exporter",1
"exporters",1
"exportimport",4
"exporting",2
"exports",8
"exposed",3
"exposure",1
"express",1
"expressed",2
"expressly",3
"extend",9
"extended",6
"extendedcapacity",1
"extending",9
"extends",1
"extension",2
"extensive",1
"extensively",2
"extent",2
"exterior",1
"external",1
"extinct",1
"extorting",1
"extortion",2
"extra",20
"extracts",1
"extracurricular",1
"extraordinary",2
"extreme",8
"extremely",2
"extremism",2
"extremist",2
"extremists",11
"extricated",1
"exxon",5
"exxonmobil",3
"eye",4
"eyes",2
"faa",1
"face",17
"facebook",9
"faced",10
"faceless",1
"faces",3
"facilitate",2
"facilities",8
"facility",6
"facing",11
"fact",53
"factcheck",2
"factchecked",1
"factchecking",1
"factor",7
"factorand",1
"factories",4
"factors",2
"factory",2
"facts",4
"factually",2
"factuallychallenged",1
"faculty",8
"fahrenheit",1
"fail",5
"failed",45
"failing",10
"failings",1
"fails",3
"failure",9
"failures",1
"fair",10
"fairer",1
"fairly",3
"fairmount",1
"fairness",3
"fairtax",1
"faith",6
"falcons",2
"falk",2
"falkland",1
"falks",1
"fall",10
"fallen",13
"fallin",1
"falling",4
"falls",6
"false",13
"falsely",3
"faltering",1
"familiar",1
"families",96
"family",85
"familys",2
"familysustaining",1
"famous",1
"fanatical",1
"fancy",4
"fannie",4
"fantasy",1
"far",57
"fare",1
"fares",2
"farm",22
"farmer",2
"farmers",6
"farming",1
"farmland",2
"farms",6
"farouk",1
"farrakhan",2
"farther",1
"fascist",1
"fashion",1
"fashioning",1
"faso",1
"fast",8
"faster",20
"fastest",11
"fastestgrowing",10
"fastestrising",1
"fasttrack",2
"fat",2
"fatah",1
"fatal",6
"fatalities",13
"fatality",1
"fatally",2
"fatcat",1
"father",9
"fatherabsent",1
"fatherinlaw",1
"fathers",3
"faucet",1
"fault",1
"faulti",1
"faulty",1
"faux",1
"favor",24
"favorably",1
"favorite",2
"favoritism",2
"favors",5
"fbi",24
"fbis",2
"fcat",2
"fccs",1
"fda",2
"fdic",1
"fdr",1
"fear",2
"fears",1
"feasible",2
"feasting",1
"featured",2
"features",2
"featuring",2
"february",7
"fec",1
"feces",1
"fed",4
"federal",360
"federalbudget",2
"federalism",1
"federally",2
"federallyowned",1
"federation",1
"fedex",1
"feds",2
"fee",14
"feed",5
"feedback",1
"feeding",1
"feel",1
"feels",1
"fees",24
"feet",8
"feingold",23
"feingolds",1
"feinstein",1
